,PName,geometry,polygon,pname,Status,color
0,R10-S5,"
								0.6071770181435032,41.60626580484551,196.9761653638865 0.6071957178407339,41.60625172075238,197.014801799574 0.60724084441661,41.60628513860031,197.0148057860532 0.6072217523994428,41.60629941419705,197.0148075883152 0.6071770181435032,41.60626580484551,196.9761653638865 
							","[[869 177]
 [896 184]
 [905 175]
 [878 167]]",R10-S5,Free,green
1,R10-S6,"
								0.6071970301423413,41.6062509155278,197.0148017203537 0.6072165560952558,41.60623582884907,197.0148054734159 0.6072606409948667,41.60627002688638,197.0548836777262 0.6072415058343505,41.60628433338858,197.0148034688591 0.6071970301423413,41.6062509155278,197.0148017203537 
							","[[867 174]
 [861 177]
 [896 189]
 [900 184]]",R10-S6,Free,green
2,R10-S7,"
								0.6072176408655094,41.60623534217239,197.014805460684 0.6072360820462719,41.60622122881195,197.0148053743905 0.6072810209557256,41.60625462715107,197.0797355417585 0.6072617287625226,41.60626905165798,197.0590338388059 0.6072176408655094,41.60623534217239,197.014805460684 
							","[[866 175]
 [861 180]
 [896 192]
 [900 186]]",R10-S7,Free,green
3,R10-S8,"
								0.6072382515787056,41.60621976882386,197.0148006989775 0.6072558249057991,41.60620597990994,197.0148034136878 0.6072996451008117,41.60623891810463,197.0534349886433 0.6072818862595741,41.60625284671241,197.0778841263256 0.6072382515787056,41.60621976882386,197.0148006989775 
							","[[861 180]
 [859 184]
 [891 196]
 [896 192]]",R10-S8,Free,green
4,R10-S9,"
								0.6072571685151629,41.6062050681974,197.0237639225471 0.6072762439780721,41.60619127805216,197.015998701047 0.6073209348547914,41.60622404623774,197.0148053871223 0.6073012189392113,41.60623764308262,197.0534349348867 0.6072571685151629,41.6062050681974,197.0237639225471 
							","[[857 184]
 [852 189]
 [889 199]
 [893 191]]",R10-S9,Free,green
5,R10-S10,"
								0.6072782019723189,41.60618933420943,197.0199083775575 0.6072968849989446,41.60617542331631,197.0534380174055 0.607342622012661,41.60620928538202,197.0292933247905 0.607323321347315,41.60622323512182,197.0148054394643 0.6072782019723189,41.60618933420943,197.0199083775575 
							","[[894 199]
 [889 208]
 [847 192]
 [854 184]]",R10-S10,Free,green
6,R10-S11,"
								0.6072988352812803,41.60617396504303,197.0534357723585 0.6073170378890413,41.60616035447961,197.0534380442839 0.6073627608480403,41.60619389494425,197.053651608094 0.6073439234257982,41.60620815028796,197.0288735505126 0.6072988352812803,41.60617396504303,197.0534357723585 
							","[[891 209]
 [884 219]
 [834 204]
 [845 194]]",R10-S11,Free,green
7,R10-S12,"
								0.6073186798671548,41.60615917269296,197.0534403657219 0.6073373158787487,41.60614523805583,197.053440333185 0.6073830388099699,41.6061789635753,197.0148011403478 0.6073641875076508,41.60619222499174,197.0553918788461 0.6073186798671548,41.60615917269296,197.0534403657219 
							","[[883 221]
 [878 228]
 [823 208]
 [834 201]]",R10-S12,Free,green
8,R10-S13,"
								0.6073390494524933,41.60614361774018,197.0534358883597 0.6073581188508337,41.60612968313544,197.0534372252025 0.6074040833813155,41.6061637146474,197.0148069913336 0.607384557498305,41.6061775035454,197.0148342572668 0.6073390494524933,41.60614361774018,197.0534358883597 
							","[[878 228]
 [871 233]
 [818 216]
 [825 208]]",R10-S13,Free,green
9,R10-S14,"
								0.6073594190309173,41.60612854890762,197.053437182763 0.6073780550225871,41.60611461427307,197.0534369917855 0.6074237782237124,41.60614799257264,197.0534384828249 0.607405168165418,41.6061622546279,197.0148069064547 0.6073594190309173,41.60612854890762,197.053437182763 
							","[[874 235]
 [866 245]
 [807 224]
 [817 218]]",R10-S14,Free,green
10,R10-S15,"
								0.6073796354015348,41.60611388903144,197.0534393599069 0.6073989215022513,41.60609963034044,197.0534400021573 0.6074463776756023,41.60613268001683,197.0621194996001 0.6074259136870985,41.60614609013865,197.2697577946044 0.6073796354015348,41.60611388903144,197.0534393599069 
							","[[864 243]
 [857 251]
 [798 229]
 [808 221]]",R10-S15,Free,green
11,R10-S16,"
								0.6073997882832383,41.60609833409495,197.0534377231587 0.6074190743818764,41.60608407540984,197.0534415766609 0.6074643805630431,41.6061177798239,197.0268618299526 0.6074472313897217,41.60613099323756,197.2002935291668 0.6073997882832383,41.60609833409495,197.0534377231587 
							","[[854 250]
 [849 260]
 [788 236]
 [798 228]]",R10-S16,Free,green
12,R10-S17,"
								0.6074202633398085,41.60608310112639,197.0534393443457 0.6074391160229031,41.6060688424342,197.0534378476478 0.6074848391724896,41.60610286887285,197.0534351569865 0.6074653178586242,41.60611699757524,197.0194080744196 0.6074202633398085,41.60608310112639,197.0534393443457 
							","[[851 262]
 [842 272]
 [781 243]
 [791 236]]",R10-S17,Free,green
13,R10-S18,"
								0.6074402919214017,41.6060682260637,197.0611862984911 0.6074591227232995,41.60605396977031,197.0534392198567 0.6075064284673615,41.60608711369388,197.1346075377939 0.6074862098229827,41.60610193084863,197.0534375831085 0.6074402919214017,41.6060682260637,197.0611862984911 
							","[[840 270]
 [832 280]
 [761 258]
 [771 250]]",R10-S18,Occupied,red
14,R10-S19,"
								0.6074606395880933,41.60605332163783,197.0534368333448 0.6074797052703862,41.6060387375634,197.0511612398337 0.6075252338888015,41.60607175974665,197.1329581553721 0.6075085081434528,41.60608486463236,197.3137787527341 0.6074606395880933,41.60605332163783,197.0534368333448 
							","[[829 284]
 [818 297]
 [744 272]
 [761 260]]",R10-S19,Free,green
15,R10-S20,"
								0.6074812190276457,41.60603760197215,197.0491192047731 0.6075000964921373,41.60602352702939,197.0713657150939 0.6075453593556146,41.60605721102504,197.0764962048794 0.6075267324015754,41.6060709827131,197.05415944282 0.6074812190276457,41.60603760197215,197.0491192047731 
							","[[818 297]
 [807 309]
 [732 284]
 [746 270]]",R10-S20,Free,green
16,R10-S21,"
								0.6075013445231758,41.60602228852898,197.0688332695317 0.6075206411456158,41.60600812770374,197.0522450755334 0.6075666498543986,41.60604144466235,197.1972253208898 0.6075465559063931,41.60605560406776,197.0787362864718 0.6075013445231758,41.60602228852898,197.0688332695317 
							","[[803 311]
 [791 324]
 [714 297]
 [729 284]]",R10-S21,Free,green
17,R10-S22,"
								0.6075216886049351,41.60600686809281,197.0506039263653 0.6075412544013781,41.60599303251783,197.05344051426 0.6075874951143967,41.60602510734471,197.4653329130521 0.6075684801103054,41.60603939677966,197.3453621433646 0.6075216886049351,41.60600686809281,197.0506039263653 
							","[[791 329]
 [778 343]
 [690 307]
 [709 294]]",R10-S22,Free,green
18,R10-S23,"
								0.6075604167155335,41.60597768738533,197.0524869139211 0.6076066746224384,41.60601097929826,197.2387611576901 0.6075886662550412,41.60602401835038,197.5885735972437 0.6075427521817778,41.60599199894825,197.0534357044554 0.6075604167155335,41.60597768738533,197.0524869139211 
							","[[774 343]
 [761 363]
 [670 326]
 [693 309]]",R10-S23,Occupied,red
19,R10-S24,"
								0.6075630684903333,41.60597683649878,197.0534371912509 0.6075813138594888,41.60596231449204,197.018283496846 0.6076270026699238,41.60599635272817,197.0881440038854 0.6076083282975953,41.60600986374049,197.1249173547053 0.6075630684903333,41.60597683649878,197.0534371912509 
							","[[754 365]
 [736 382]
 [648 344]
 [668 329]]",R10-S24,Free,green
20,R10-S25,"
								0.6075828978490283,41.60596145843316,197.0148030699282 0.607601848624717,41.60594697353327,197.0148033019306 0.6076481969148229,41.60598081617939,197.0519494182621 0.6076286571079703,41.60599527366093,197.0674969007024 0.6075828978490283,41.60596145843316,197.0148030699282 
							","[[732 388]
 [712 409]
 [616 366]
 [638 348]]",R10-S25,Free,green
21,R10-S26,"
								0.6076035331406637,41.60594618629523,197.0148032495886 0.6076217949933937,41.60593164985402,196.9761714270696 0.6076679667866625,41.60596571956941,197.0534372322757 0.6076490426883141,41.60597971405113,197.0591531870326 0.6076035331406637,41.60594618629523,197.0148032495886 
							","[[709 410]
 [685 436]
 [582 387]
 [611 368]]",R10-S26,Free,green
22,R10-S27,"
								0.6076551121402152,41.60590662234075,196.9934662110645 0.6077014056595931,41.6059405590745,197.0534349589357 0.6076688080085946,41.60596477606001,197.0534419572013 0.6076236923855971,41.60593101931165,196.9761714228256 0.6076551121402152,41.60590662234075,196.9934662110645 
							","[[678 441]
 [627 490]
 [519 429]
 [573 390]]",R10-S27,Free,blue
23,R10-S1,"
								0.6070813242078277,41.60633742032162,196.9685477849958 0.6071143356101394,41.60631224013386,196.9613015300899 0.6071591157804113,41.60634615870579,197.0017411275533 0.6071261181706267,41.60637148513406,196.9964147018914 0.6070813242078277,41.60633742032162,196.9685477849958 
							",,,,yellow
24,R10-S2,"
								0.6071156433283531,41.60631142777705,196.9635935066441 0.6071343446732658,41.60629746060681,196.9761710790661 0.6071790802340815,41.60633138305758,197.0148068498688 0.6071604190727653,41.6063455062037,197.0051037934797 0.6071156433283531,41.60631142777705,196.9635935066441 
							",,,,yellow
